FULL_ADDRESS,RENT_PER_MONTH,BEDS,BATHS,SQUARE_FEET,RENT_PRICE_PER_SQFT,STREET,CITY,ZIP_CODE,LATITUDE,LONGITUDE,RENT_TOTAL_COST_AFTER_30_YEARS
"831 Spoonbill Ln, Suisun City, CA 94585","$2,899.00",3,1,"1,088",$2.66,Spoonbill Ln,Suisun City,94585,38.2521068,-122.0156033,"$1,880,581.49"
"400 Kinsmill Ct, Suisun City, CA 94585","$2,739.00",2,2,"1,101",$2.49,Kinsmill Ct,Suisun City,94585,38.2417297,-122.0056711,"$1,776,789.48"
"905 Shadywood Cir, Suisun City, CA 94585","$2,999.00",3,2,"1,211",$2.48,Shadywood Cir,Suisun City,94585,38.2524463,-122.0213698,"$1,945,451.50"
"96 Chipman Ln, Suisun City, CA 94585","$3,099.00",4,2,"1,490",$2.08,Chipman Ln,Suisun City,94585,38.2447452,-122.0255795,"$2,010,321.51"
"801 Greenhead Way, Suisun City, CA 94585","$3,250.00",4,2,"1,814",$1.79,Greenhead Way,Suisun City,94585,38.2495822,-122.0182494,"$2,108,275.22"
"900 Bluejay Dr, Suisun City, CA 94585","$3,300.00",4,3,"1,960",$1.68,Bluejay Dr,Suisun City,94585,38.250424,-121.9986934,"$2,140,710.22"
"1010 Barrows Dr, Suisun City, CA 94585","$2,800.00",3,2,"1,320",$2.12,Barrows Dr,Suisun City,94585,38.2448354,-122.0041258,"$1,816,360.19"
"1513 Casa Loma Way, Suisun City, CA 94585","$3,500.00",3,2,"1,334",$2.62,Casa Loma Way,Suisun City,94585,38.2474334,-121.9855265,"$2,270,450.23"
"1222 Rebecca Dr, Suisun City, CA 94585","$2,900.00",4,3,"1,934",$1.50,Rebecca Dr,Suisun City,94585,38.2528924,-121.9962515,"$1,881,230.19"
"93 Coral Ln, Suisun City, CA 94585","$2,995.00",4,2,"1,490",$2.01,Coral Ln,Suisun City,94585,38.2450305,-122.0259982,"$1,942,856.70"
"611 Suisun St, Suisun City, CA 94585","$2,550.00",2,1,"1,448",$1.76,Suisun St,Suisun City,94585,38.2387694,-122.0416575,"$1,654,185.17"
"1925 Grande Cir Unit 12, Fairfield, CA 94533","$1,795.00",2,1,800,$2.24,Grande Cir Unit 12,Fairfield,94533,38.2634325,-122.009087,"$1,164,416.62"
"1607 Matthew Dr, Fairfield, CA 94533","$2,785.00",3,2,"1,196",$2.33,Matthew Dr,Fairfield,94533,38.2590168,-122.0189149,"$1,806,629.68"
"1320 Lasuen Dr, Millbrae, CA 94030","$6,522.00",3,2,"2,010",$3.24,Lasuen Dr,Millbrae,94030,37.585569,-122.3990542,"$4,230,821.83"
"30 Palm Ave, Millbrae, CA 94030","$5,800.00",3,3,"1,700",$3.41,Palm Ave,Millbrae,94030,37.595809,-122.393697,"$3,762,460.38"
"20 Hillcrest Blvd Unit 8, Millbrae, CA 94030","$2,050.00",0,1,600,$3.42,Hillcrest Blvd Unit 8,Millbrae,94030,37.6018353,-122.3925724,"$1,329,835.14"
"88 Linden Ave Unit 1, San Bruno, CA 94066","$2,985.00",2,1,780,$3.83,Linden Ave Unit 1,San Bruno,94066,37.6147604,-122.4068634,"$1,936,369.70"
"12 Linden Ave Apt 1, San Bruno, CA 94066","$3,000.00",2,1,800,$3.75,Linden Ave Apt 1,San Bruno,94066,37.612927,-122.4064169,"$1,946,100.20"
"509 Poplar Ave Unit 215B, Millbrae, CA 94030","$3,250.00",2,1,900,$3.61,Poplar Ave Unit 215B,Millbrae,94030,37.6017885,-122.398233,"$2,108,275.22"
