FULL_ADDRESS,PRICE,BEDS,BATHS,SQUARE_FEET,PRICE_PER_SQFT,STREET,CITY,ZIP_CODE,LATITUDE,LONGITUDE,LOT_SIZE,YEAR_BUILT,HOA_PER_MONTH,HOA_30_YEARS,MORTGAGE_RATE_24_APRIL_2025,CLOSING_COST,DOWNPAYMENT_20PERCENT,LOAN_AMOUNT,LOAN_TENURE_MONTHS,MONTHLY_EMI,TOTAL_INTEREST_30_YEARS,AVERAGE_YEARLY_ZHVI_PERCENTAGE_CHANGE,ESTIMATED_HOME_VALUE_APPRECIATED_AFTER_30_YEARS,ANNUAL_PROPERTY_TAXES,ESTIMATED_PROPERTY_TAXES_AFTER_30_YEARS,AVERAGE_ANNUAL_INSURANCE_COST,ESTIMATED_INSURANCE_COST_AFTER_30_YEARS,ESTIMATED_HOME_MAINTENANCE_AFTER_30_YEARS,TOTAL_COSTS_AFTER_30_YEARS,ESTIMATED_NET_VALUE_GAIN_AFTER_30_YEARS,REITS_INVESTMENT_30_YEARS_WITH_COMPOUNDING_INTEREST,ESTIMATED_FTSE_NAREIT_30_YEARS_RETURNS
"12077 Sand Ave, Adelanto, CA 92301","$285,000",4,1,972,$293.21,Sand Ave,Adelanto,92301,34.5854428,-117.4013927,"9,576",1965,$0,$0,6.81%,"$9,975.00","$57,000","$228,000",360,"$1,487.91","$307,647.05",8.45%,"$722,610.74",1.13%,"$130,996.36","$1,743.00","$52,290.00","$29,160.00","$530,068.41","$135,542.33",538.48%,"$306,931.32"
"32722 Wagon Wheel Rd, Agua Dulce, CA 91390","$820,000",3,2,"1,782",$460.16,Wagon Wheel Rd,Agua Dulce,91390,34.4889022,-118.3652731,"55,583",1989,$0,$0,6.81%,"$28,700.00","$164,000","$656,000",360,"$4,281.00","$885,159.94",5.64%,"$1,387,863.59",1.18%,"$392,536.73","$1,985.00","$59,550.00","$53,460.00","$1,419,406.68","-$195,543.09",538.48%,"$883,100.63"
"32140 Windrush Rd, Agua Dulce, CA 91390","$1,825,000",4,4,"4,043",$451.40,Windrush Rd,Agua Dulce,91390,34.4779155,-118.3380771,"443,623",2003,$0,$0,6.81%,"$63,875.00","$365,000","$1,460,000",360,"$9,527.84","$1,970,020.61",5.64%,"$3,088,842.75",1.18%,"$873,633.59","$1,985.00","$59,550.00","$121,290.00","$3,088,369.19","-$364,526.44",538.48%,"$1,965,437.38"
"9854 Bald Mountain Ct, Agua Dulce, CA 91390","$1,495,000",4,3,"3,210",$465.73,Bald Mountain Ct,Agua Dulce,91390,34.5151993,-118.3067143,"88,131",2003,$0,$0,6.81%,"$52,325.00","$299,000","$1,196,000",360,"$7,804.99","$1,613,797.70",5.64%,"$2,530,312.28",1.18%,"$715,661.49","$1,985.00","$59,550.00","$96,300.00","$2,537,634.19","-$306,321.91",538.48%,"$1,610,043.23"
"34217 Mabana St, Agua Dulce, CA 91390","$1,150,000",4,2,"2,025",$567.90,Mabana St,Agua Dulce,91390,34.5077613,-118.3135163,"111,115",1977,$0,$0,6.81%,"$40,250.00","$230,000","$920,000",360,"$6,003.84","$1,241,382.85",5.64%,"$1,946,394.06",1.18%,"$550,508.83","$1,985.00","$59,550.00","$60,750.00","$1,952,441.68","-$236,047.62",538.48%,"$1,238,494.79"
"35728 Beauty Vista Ln, Agua Dulce, CA 91390","$1,300,000",4,3,"2,635",$493.36,Beauty Vista Ln,Agua Dulce,91390,34.5271795,-118.2858553,"221,921",1989,$0,$0,6.81%,"$45,500.00","$260,000","$1,040,000",360,"$6,786.95","$1,403,302.35",5.64%,"$2,200,271.55",1.18%,"$622,314.34","$1,985.00","$59,550.00","$79,050.00","$2,209,716.69","-$269,445.14",538.48%,"$1,400,037.59"
"41700 Jojoba Hills Cir, Aguanga, CA 92536","$1,225,000",4,5,"5,250",$233.33,Jojoba Hills Cir,Aguanga,92536,33.5174642,-116.8948187,"208,217",2008,$66,"$23,760",6.81%,"$42,875.00","$245,000","$980,000",360,"$6,395.40","$1,322,342.60",6.41%,"$2,354,280.70",1.19%,"$589,393.34","$1,867.00","$56,010.00","$157,500.00","$2,191,880.94","-$82,600.24",538.48%,"$1,319,266.19"
"3026 Windsor Dr, Alameda, CA 94501","$1,495,000",4,2,"1,845",$810.30,Windsor Dr,Alameda,94501,37.7651137,-122.2276777,"4,000",1939,$0,$0,6.81%,"$52,325.00","$299,000","$1,196,000",360,"$7,804.99","$1,613,797.70",4.99%,"$2,237,288.73",1.24%,"$753,870.53","$1,383.00","$41,490.00","$55,350.00","$2,516,833.23","-$578,544.50",538.48%,"$1,610,043.23"
"1121 Stannage Ave, Albany, CA 94706","$899,000",3,2,958,$938.41,Stannage Ave,Albany,94706,37.8834697,-122.2947007,"2,500",1910,$0,$0,6.81%,"$31,465.00","$179,800","$719,200",360,"$4,693.44","$970,437.55",5.51%,"$1,485,833.75",1.24%,"$453,330.84","$1,380.00","$41,400.00","$28,740.00","$1,525,373.39","-$219,339.64",538.48%,"$968,179.84"
"535 Pierce St #5109, Albany, CA 94706","$650,000",2,2,"1,170",$555.56,Pierce St #5109,Albany,94706,37.8967817,-122.3077963,"332,752",1988,$689,"$248,040",6.81%,"$22,750.00","$130,000","$520,000",360,"$3,393.48","$701,651.18",5.51%,"$1,074,295.82",1.24%,"$327,769.80","$1,380.00","$41,400.00","$35,100.00","$1,376,710.97","-$432,415.16",538.48%,"$700,018.79"
"535 Pierce St #2310, Albany, CA 94706","$649,000",2,2,"1,170",$554.70,Pierce St #2310,Albany,94706,37.8967817,-122.3077963,"332,798",1988,$689,"$248,040",6.81%,"$22,715.00","$129,800","$519,200",360,"$3,388.25","$700,571.71",5.51%,"$1,072,643.05",1.24%,"$327,265.53","$1,380.00","$41,400.00","$35,100.00","$1,375,092.25","-$432,249.19",538.48%,"$698,941.84"
"535 Pierce St #3409, Albany, CA 94706","$660,000",2,2,"1,170",$564.10,Pierce St #3409,Albany,94706,37.8967817,-122.3077963,"332,752",1988,$689,"$248,040",6.81%,"$23,100.00","$132,000","$528,000",360,"$3,445.68","$712,445.81",5.51%,"$1,090,823.44",1.24%,"$332,812.41","$1,380.00","$41,400.00","$35,100.00","$1,392,898.22","-$434,074.77",538.48%,"$710,788.31"
"1012 Geranio Dr, Alhambra, CA 91801","$895,000",3,2,"1,185",$755.27,Geranio Dr,Alhambra,91801,34.0840349,-118.1092831,"5,946",1948,$0,$0,6.81%,"$31,325.00","$179,000","$716,000",360,"$4,672.55","$966,119.70",6.56%,"$1,760,403.12",1.18%,"$428,439.48","$1,483.00","$44,490.00","$35,550.00","$1,505,924.18","$75,478.94",538.48%,"$963,872.03"
"1421 E Norwood Pl, Alhambra, CA 91801","$1,050,000",3,2,"1,737",$604.49,E Norwood Pl,Alhambra,91801,34.0766281,-118.108531,"6,465",1947,$0,$0,6.81%,"$36,750.00","$210,000","$840,000",360,"$5,481.77","$1,133,436.51",6.56%,"$2,065,277.40",1.18%,"$502,638.50","$1,483.00","$44,490.00","$52,110.00","$1,769,425.02","$85,852.39",538.48%,"$1,130,799.59"
"1404 Violeta Dr, Alhambra, CA 91801","$1,300,000",5,3,"1,711",$759.79,Violeta Dr,Alhambra,91801,34.0768907,-118.1093084,"6,108",1947,$0,$0,6.81%,"$45,500.00","$260,000","$1,040,000",360,"$6,786.95","$1,403,302.35",6.56%,"$2,557,010.12",1.18%,"$622,314.34","$1,483.00","$44,490.00","$51,330.00","$2,166,936.69","$130,073.43",538.48%,"$1,400,037.59"
"912 E Beacon St, Alhambra, CA 91801","$945,000",4,2,"1,282",$737.13,E Beacon St,Alhambra,91801,34.0952982,-118.1140975,"8,103",1922,$0,$0,6.81%,"$33,075.00","$189,000","$756,000",360,"$4,933.59","$1,020,092.86",6.56%,"$1,858,749.66",1.18%,"$452,374.65","$1,483.00","$44,490.00","$38,460.00","$1,588,492.51","$81,257.15",538.48%,"$1,017,719.63"
"999 E Valley Blvd #44, Alhambra, CA 91801","$628,000",2,2,"1,110",$565.77,E Valley Blvd #44,Alhambra,91801,34.0804612,-118.1131252,"464,984",1966,$389,"$140,040",6.81%,"$21,980.00","$125,600","$502,400",360,"$3,278.62","$677,902.98",6.56%,"$1,235,232.58",1.18%,"$300,625.69","$1,483.00","$44,490.00","$33,300.00","$1,218,338.68","-$108,706.10",538.48%,"$676,325.85"
"1705 S 8th St, Alhambra, CA 91803","$899,000",2,2,"1,080",$832.41,S 8th St,Alhambra,91803,34.0747003,-118.1320232,"8,521",1923,$0,$0,6.81%,"$31,465.00","$179,800","$719,200",360,"$4,693.44","$970,437.55",6.76%,"$1,823,164.21",1.18%,"$430,354.30","$1,491.00","$44,730.00","$32,400.00","$1,509,386.85","$133,977.36",538.48%,"$968,179.84"
"1121 S Granada Ave, Alhambra, CA 91801","$1,098,000",4,2,"1,558",$704.75,S Granada Ave,Alhambra,91801,34.0820784,-118.1143503,"5,702",1948,$0,$0,6.81%,"$38,430.00","$219,600","$878,400",360,"$5,732.36","$1,185,250.75",6.56%,"$2,159,690.08",1.18%,"$525,616.26","$1,483.00","$44,490.00","$46,740.00","$1,840,527.02","$99,563.07",538.48%,"$1,182,493.29"
"1600 S Vega St, Alhambra, CA 91801","$1,068,000",3,2,"1,157",$923.08,S Vega St,Alhambra,91801,34.0760404,-118.1110365,"6,926",1947,$0,$0,6.81%,"$37,380.00","$213,600","$854,400",360,"$5,575.74","$1,152,866.85",6.56%,"$2,100,682.16",1.18%,"$511,255.16","$1,483.00","$44,490.00","$34,710.00","$1,780,702.02","$106,380.14",538.48%,"$1,150,184.73"
"131 S Atlantic Blvd Unit A, Alhambra, CA 91801","$649,000",3,3,"1,211",$535.92,S Atlantic Blvd Unit A,Alhambra,91801,34.0892806,-118.1351491,"9,588",1989,$240,"$86,400",6.81%,"$22,715.00","$129,800","$519,200",360,"$3,388.25","$700,571.71",6.56%,"$1,276,538.13",1.18%,"$310,678.46","$1,483.00","$44,490.00","$36,330.00","$1,201,185.18","-$54,447.05",538.48%,"$698,941.84"
"802 E Alhambra Rd, Alhambra, CA 91801","$998,000",2,2,"1,248",$799.68,E Alhambra Rd,Alhambra,91801,34.1043907,-118.1224367,"5,600",1940,$0,$0,6.81%,"$34,930.00","$199,600","$798,400",360,"$5,210.29","$1,077,304.42",6.56%,"$1,962,997.00",1.18%,"$477,745.93","$1,483.00","$44,490.00","$37,440.00","$1,671,910.35","$91,486.65",538.48%,"$1,074,798.09"
"1819 S 2nd St, Alhambra, CA 91801","$1,269,999",2,1,"1,102","$1,152.45",S 2nd St,Alhambra,91801,34.0733527,-118.1245332,"7,553",1929,$0,$0,6.81%,"$44,449.97","$254,000","$1,015,999",360,"$6,630.32","$1,370,917.37",6.56%,"$2,498,000.22",1.18%,"$607,952.76","$1,483.00","$44,490.00","$33,060.00","$2,100,870.09","$143,130.33",538.48%,"$1,367,727.95"
"745 S Chapel Ave, Alhambra, CA 91801","$1,750,000",6,5,"3,106",$563.43,S Chapel Ave,Alhambra,91801,34.0874984,-118.1200629,"10,824",1928,$0,$0,6.81%,"$61,250.00","$350,000","$1,400,000",360,"$9,136.28","$1,889,060.86",6.56%,"$3,442,129.00",1.18%,"$837,730.84","$1,483.00","$44,490.00","$93,180.00","$2,925,711.69","$166,417.31",538.48%,"$1,884,665.98"
"15 S Chapel Ave Unit C, Alhambra, CA 91801","$1,290,000",4,4,"1,981",$651.19,S Chapel Ave Unit C,Alhambra,91801,34.0959521,-118.1235121,"19,296",2024,$696,"$250,560",6.81%,"$45,150.00","$258,000","$1,032,000",360,"$6,734.74","$1,392,507.72",6.56%,"$2,537,340.81",1.18%,"$617,527.30","$1,483.00","$44,490.00","$59,430.00","$2,409,665.02","-$130,324.21",538.48%,"$1,389,268.07"
"15 S Chapel Ave Unit A, Alhambra, CA 91801","$1,290,000",4,4,"1,981",$651.19,S Chapel Ave Unit A,Alhambra,91801,34.0959521,-118.1235121,"19,296",2024,$696,"$250,560",6.81%,"$45,150.00","$258,000","$1,032,000",360,"$6,734.74","$1,392,507.72",6.56%,"$2,537,340.81",1.18%,"$617,527.30","$1,483.00","$44,490.00","$59,430.00","$2,409,665.02","-$130,324.21",538.48%,"$1,389,268.07"
"600 Westminster Ave, Alhambra, CA 91803","$1,350,000",4,3,"2,831",$476.86,Westminster Ave,Alhambra,91803,34.0871461,-118.1558603,"9,562",1939,$0,$0,6.81%,"$47,250.00","$270,000","$1,080,000",360,"$7,047.99","$1,457,275.52",6.76%,"$2,737,788.30",1.18%,"$646,249.50","$1,491.00","$44,730.00","$84,930.00","$2,280,435.02","$187,353.28",538.48%,"$1,453,885.19"
"120 W Grand Ave, Alhambra, CA 91801","$6,000,000",38,34,"23,237",$258.21,W Grand Ave,Alhambra,91801,34.0978846,-118.1312602,"17,517",1971,$0,$0,6.81%,"$210,000.00","$1,200,000","$4,800,000",360,"$31,324.39","$6,476,780.08",6.56%,"$11,801,585.16",1.18%,"$2,872,220.01","$1,483.00","$44,490.00","$697,110.00","$10,300,600.09","$300,985.07",538.48%,"$6,461,711.94"
"408 S 7th St, Alhambra, CA 91801","$949,000",3,1,"1,260",$753.17,S 7th St,Alhambra,91801,34.0874219,-118.1309622,"7,501",1923,$0,$0,6.81%,"$33,215.00","$189,800","$759,200",360,"$4,954.47","$1,024,410.72",6.56%,"$1,866,617.39",1.18%,"$454,289.46","$1,483.00","$44,490.00","$37,800.00","$1,594,205.18","$82,612.21",538.48%,"$1,022,027.44"
"3017 Midwick Dr, Alhambra, CA 91803","$999,000",3,2,"1,753",$569.88,Midwick Dr,Alhambra,91803,34.0715794,-118.1588155,"8,749",1932,$0,$0,6.81%,"$34,965.00","$199,800","$799,200",360,"$5,215.51","$1,078,383.88",6.76%,"$2,025,963.34",1.18%,"$478,224.63","$1,491.00","$44,730.00","$52,590.00","$1,688,893.51","$137,269.83",538.48%,"$1,075,875.04"
"1518 S 4th St, Alhambra, CA 91803","$3,500,000",16,10,"6,930",$505.05,S 4th St,Alhambra,91803,34.0763516,-118.1264176,"8,731",1960,$0,$0,6.81%,"$122,500.00","$700,000","$2,800,000",360,"$18,272.56","$3,778,121.71",6.76%,"$7,097,969.67",1.18%,"$1,675,461.67","$1,491.00","$44,730.00","$207,900.00","$5,828,713.38","$569,256.28",538.48%,"$3,769,331.97"
"2218 S Meridian Ave, Alhambra, CA 91803","$975,000",3,2,"1,196",$815.22,S Meridian Ave,Alhambra,91803,34.0676973,-118.1543619,"7,194",1922,$0,$0,6.81%,"$34,125.00","$195,000","$780,000",360,"$5,090.21","$1,052,476.76",6.76%,"$1,977,291.55",1.18%,"$466,735.75","$1,491.00","$44,730.00","$35,880.00","$1,633,947.51","$148,344.04",538.48%,"$1,050,028.19"
"1720 S Marguerita Ave, Alhambra, CA 91803","$1,100,000",4,2,"1,728",$636.57,S Marguerita Ave,Alhambra,91803,34.074089,-118.137844,"6,140",1956,$0,$0,6.81%,"$38,500.00","$220,000","$880,000",360,"$5,742.80","$1,187,409.68",6.76%,"$2,230,790.47",1.18%,"$526,573.67","$1,491.00","$44,730.00","$51,840.00","$1,849,053.35","$161,737.12",538.48%,"$1,184,647.19"
"333 N Chapel Ave, Alhambra, CA 91801","$2,980,000",10,7,"5,699",$522.90,N Chapel Ave,Alhambra,91801,34.1001445,-118.1264491,"7,943",1970,$0,$0,6.81%,"$104,300.00","$596,000","$2,384,000",360,"$15,557.78","$3,216,800.77",6.56%,"$5,861,453.96",1.18%,"$1,426,535.94","$1,483.00","$44,490.00","$170,970.00","$4,963,096.71","$302,357.25",538.48%,"$3,209,316.93"
